999,ПАО МегаФон,г. Москва и Московская область,3440000 - 3499999
999,ПАО МегаФон,Тюменская обл.,3425000 - 3439999
999,ПАО МегаФон,Свердловская обл.,3403000 - 3424999
999,ООО Скартел,Карачаево-Черкесская Республика,3400000 - 3402999
999,ООО Скартел,Республика Ингушетия,3398000 - 3399999
999,ПАО МегаФон,г. Москва и Московская область,3358000 - 3397999
999,ПАО МегаФон,Республика Коми,3348000 - 3357999
999,ПАО МегаФон,Омская обл.,3340000 - 3347999
999,ООО Интернод,г. Москва и Московская область,3330000 - 3339999
999,ПАО МегаФон,Республика Алтай,3325000 - 3329999
999,ПАО МегаФон,Алтайский край,3310000 - 3324999
999,ПАО МегаФон,Новосибирская обл.,3305000 - 3309999
999,ПАО МегаФон,Омская обл.,3303000 - 3304999
999,ООО Скартел,Республика Ингушетия,3300000 - 3302999
999,ПАО МегаФон,Омская обл.,3290000 - 3299999
999,ПАО МегаФон,г. Санкт-Петербург * Ленинградская область,3280000 - 3289999
999,ПАО МегаФон,Омская обл.,3260000 - 3279999
999,ПАО МегаФон,Республика Хакасия,3258000 - 3259999
999,ПАО МегаФон,Республика Тыва,3256000 - 3257999
999,ПАО МегаФон,Республика Алтай,3254000 - 3255999
999,ПАО МегаФон,Красноярский край,3252000 - 3253999
999,ПАО МегаФон,Кемеровская обл.,3240000 - 3251999
999,ПАО МегаФон,Алтайский край,3230000 - 3239999
999,ПАО МегаФон,Красноярский край,3229000 - 3229999
999,ПАО МегаФон,Томская обл.,3221000 - 3228999
999,ПАО МегаФон,Новосибирская обл.,3200000 - 3220999
999,ПАО МегаФон,Красноярский край,3170000 - 3199999
999,ПАО МегаФон,Томская обл.,3160000 - 3169999
999,ПАО МегаФон,Республика Хакасия,3155000 - 3159999
999,ПАО МегаФон,Красноярский край,3120000 - 3154999
999,ООО Скартел,Республика Дагестан,3100000 - 3119999
999,ООО Скартел,Кабардино-Балкарская Республика,3098000 - 3099999
999,ПАО МегаФон,Новосибирская обл.,3090000 - 3097999
999,ПАО МегаФон,Республика Тыва,3085000 - 3089999
999,ПАО МегаФон,Новосибирская обл.,3075000 - 3084999
999,ПАО МегаФон,Кемеровская обл.,3060000 - 3074999
999,ПАО МегаФон,Новосибирская обл.,3003000 - 3059999
999,ООО Скартел,Кабардино-Балкарская Республика,3000000 - 3002999
999,ООО Скартел,Республика Коми,2998000 - 2999999
999,ПАО МегаФон,Камчатский край,2997000 - 2997999
999,ПАО МегаФон,Магаданская обл.,2996000 - 2996999
999,ПАО МегаФон,Сахалинская обл.,2994000 - 2995999
999,ПАО МегаФон,Забайкальский край,2990000 - 2993999
999,ПАО МегаФон,Забайкальский край,2980000 - 2989999
999,ПАО МегаФон,Приморский край,2953000 - 2979999
999,ООО Скартел,Республика Коми,2950000 - 2952999
999,ООО Скартел,Республика Карелия,2948000 - 2949999
999,ПАО МегаФон,Кировская обл.,2938000 - 2947999
999,ПАО МегаФон,Челябинская обл.,2903000 - 2937999
999,ООО Скартел,Республика Карелия,2900000 - 2902999
999,ПАО МегаФон,Свердловская обл.,2853000 - 2899999
999,ООО Скартел,Псковская обл.,2850000 - 2852999
999,ООО Скартел,Новгородская обл.,2848000 - 2849999
999,ПАО МегаФон,Курганская обл.,2843000 - 2847999
999,ПАО МегаФон,Пермский край,2818000 - 2842999
999,ПАО МегаФон,Удмуртская Республика,2803000 - 2817999
999,ООО Скартел,Новгородская обл.,2800000 - 2802999
999,ПАО МегаФон,г. Москва и Московская область,2763000 - 2799999
999,ПАО МегаФон,Республика Бурятия,2753000 - 2762999
999,ООО Скартел,Архангельская область * Ненецкий автономный округ,2750000 - 2752999
999,ООО Скартел,Мурманская обл.,2748000 - 2749999
999,ПАО МегаФон,Магаданская обл.,2743000 - 2747999
999,ПАО МегаФон,Чукотский АО,2740000 - 2742999
999,ПАО МегаФон,Хабаровский край,2730000 - 2739999
999,ПАО МегаФон,Чукотский АО,2729000 - 2729999
999,ПАО МегаФон,Республика Бурятия,2725000 - 2728999
999,ПАО МегаФон,Хабаровский край,2720000 - 2724999
999,ПАО МегаФон,Сахалинская обл.,2715000 - 2719999
